INSTNM,CITY,STABBR,INSTURL,ADM_RATE,ADM_RATE_ALL,SAT_AVG,ACTCMMID,Agriculture,CIP03BACHL,Architecture,CIP05BACHL,Communications/Journalism,CIP10BACHL,Computer and Information Sciences,Culinary Services,Education,Engineering,CIP15BACHL,CIP16BACHL,CIP19BACHL,Legal Professions and Studies,English Language and Literature,Liberal Arts and Sciences,CIP25BACHL,Biological and Biomedical Sciences,Mathematics and Statistics,CIP29BACHL,CIP30BACHL,CIP31BACHL,Philosophy and Religious Studies,CIP39BACHL,CIP40BACHL,CIP41BACHL,Psychology,CIP43BACHL,CIP44BACHL,Social Sciences,CIP46BACHL,CIP47BACHL,CIP48BACHL,CIP49BACHL,Visual and Performing Arts,CIP51BACHL,Business,History,COSTT4_A
Alabama A & M University,Normal,AL,www.aamu.edu/,0.5256,0.525603474,827,17,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,2,0,21475
University of Alabama at Birmingham,Birmingham,AL,www.uab.edu,0.8569,0.856917688,1107,24,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,2,2,1,20621
Amridge University,Montgomery,AL,www.amridgeuniversity.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,16370
University of Alabama in Huntsville,Huntsville,AL,www.uah.edu,0.8203,0.820342205,1219,27,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2,1,1,21107
Alabama State University,Montgomery,AL,www.alasu.edu,0.5326,0.532646944,851,18,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,2,1,1,1,0,0,0,0,1,1,1,1,18184
The University of Alabama,Tuscaloosa,AL,www.ua.edu/,0.5105,0.5104636,1185,27,0,1,0,1,1,0,1,0,1,2,0,1,2,0,1,0,0,1,1,0,2,0,1,0,1,0,1,1,1,1,0,0,0,0,1,2,2,1,26400
Central Alabama Community College,Alexander City,AL,www.cacc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12054
Athens State University,Athens,AL,www.athens.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,1,1,0,1,1,2,0,1,0,1,1,0,1,0,0,0,0,1,1,2,1,NULL
Auburn University at Montgomery,Montgomery,AL,www.aum.edu,0.8017,0.801695714,1009,22,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,2,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,2,1,1,17903
Auburn University,Auburn,AL,www.auburn.edu,0.8347,0.834650313,1215,27,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,2,1,25282
Birmingham Southern College,Birmingham,AL,www.bsc.edu/,0.5339,0.533935018,1181,27,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,45162
Chattahoochee Valley Community College,Phenix City,AL,www.cv.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6860
Concordia College Alabama,Selma,AL,www.ccal.edu/,0.5328,0.532846715,942,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17603
South University-Montgomery,Montgomery,AL,southuniversity.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,27870
Enterprise State Community College,Enterprise,AL,www.escc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8676
James H Faulkner State Community College,Bay Minette,AL,www.faulknerstate.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11194
Faulkner University,Montgomery,AL,www.faulkner.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,1,1,1,30116
Gadsden State Community College,Gadsden,AL,www.gadsdenstate.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10243
New Beginning College of Cosmetology,Albertville,AL,www.nbccosmetology.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
George C Wallace State Community College-Dothan,Dothan,AL,www.wallace.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8735
George C Wallace State Community College-Hanceville,Hanceville,AL,www.wallacestate.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11703
George C Wallace State Community College-Selma,Selma,AL,www.wccs.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13756
Herzing University-Birmingham,Birmingham,AL,www.herzing.edu/,1,1,NULL,NULL,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,26200
Huntingdon College,Montgomery,AL,www.huntingdon.edu,0.5839,0.583855254,1026,22,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,32370
Heritage Christian University,Florence,AL,www.hcu.edu,1,1,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18631
J F Drake State Community and Technical College,Huntsville,AL,www.drakestate.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14779
Jacksonville State University,Jacksonville,AL,www.jsu.edu/,0.8326,0.83260357,1041,23,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,2,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,2,1,20830
Jefferson Davis Community College,Brewton,AL,www.jdcc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9496
Jefferson State Community College,Birmingham,AL,www.jeffstateonline.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13418
John C Calhoun State Community College,Tanner,AL,www.calhoun.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10052
Judson College,Marion,AL,www.judson.edu,0.6525,0.652542373,NULL,NULL,1,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,1,1,0,2,0,2,0,1,0,2,2,1,2,0,0,0,0,2,0,2,2,28840
Lawson State Community College-Birmingham Campus,Birmingham,AL,www.lawsonstate.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12597
University of West Alabama,Livingston,AL,www.uwa.edu,0.7199,0.719921105,990,21,0,0,0,0,2,0,0,0,2,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,17839
Lurleen B Wallace Community College,Andalusia,AL,www.lbwcc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13423
Marion Military Institute,Marion,AL,www.marionmilitary.edu,0.6139,0.613861386,1055,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16520
Miles College,Fairfield,AL,www.miles.edu,NULL,NULL,NULL,NULL,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,22436
University of Mobile,Mobile,AL,www.umobile.edu,0.5847,0.584737364,1014,22,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,31220
University of Montevallo,Montevallo,AL,www.montevallo.edu,0.743,0.742998353,1070,23,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,22440
Northwest-Shoals Community College,Muscle Shoals,AL,www.nwscc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000
University of North Alabama,Florence,AL,www.una.edu,0.6788,0.678842676,1029,22,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,2,1,0,0,1,0,1,2,2,2,0,0,0,0,1,2,1,2,15494
Northeast Alabama Community College,Rainsville,AL,www.nacc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8145
Oakwood University,Huntsville,AL,www.oakwood.edu,0.4787,0.478652751,928,20,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,36064
Alabama Southern Community College,Monroeville,AL,www.ascc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10708
Prince Institute-Southeast,Elmhurst,IL,princeinstitute.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27183
Reid State Technical College,Evergreen,AL,www.rstc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9158
Bishop State Community College,Mobile,AL,www.bishop.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9955
Samford University,Birmingham,AL,www.samford.edu,0.5954,0.595368145,1165,26,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,40900
Selma University,Selma,AL,selmauniversity.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12621
Shelton State Community College,Tuscaloosa,AL,www.sheltonstate.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13426
Snead State Community College,Boaz,AL,www.snead.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10376
University of South Alabama,Mobile,AL,www.southalabama.edu,0.8335,0.833485819,1048,23,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,18525
Spring Hill College,Mobile,AL,www.shc.edu,0.5177,0.517694155,1116,25,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,44970
Southeastern Bible College,Birmingham,AL,www.sebc.edu,1,1,930,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17066
Stillman College,Tuscaloosa,AL,www.stillman.edu,0.5901,0.590095327,811,17,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,26185
Talladega College,Talladega,AL,www.talladega.edu,NULL,NULL,NULL,NULL,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,20918
H Councill Trenholm State Community College,Montgomery,AL,www.trenholmstate.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9912
Troy University,Troy,AL,www.troy.edu,0.4414,0.441445707,1050,23,0,1,0,0,1,0,2,0,1,0,1,2,0,0,1,0,0,1,1,0,0,2,0,0,1,0,2,2,1,2,0,0,0,0,1,1,2,2,17354
Tuskegee University,Tuskegee,AL,www.tuskegee.edu,0.4922,0.492198009,978,22,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,32853
United States Sports Academy,Daphne,AL,www.ussa.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Bevill State Community College,Jasper,AL,www.bscc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13084
University of Alaska Anchorage,Anchorage,AK,www.uaa.alaska.edu,NULL,NULL,NULL,NULL,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,13610
Alaska Bible College,Palmer,AK,www.akbible.edu/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15990
University of Alaska Fairbanks,Fairbanks,AK,www.uaf.edu,NULL,NULL,NULL,NULL,0,1,0,2,1,0,1,0,2,1,0,1,2,0,1,1,0,1,1,0,1,0,1,0,1,0,1,2,2,1,0,0,0,0,1,0,1,1,15340
University of Alaska Southeast,Juneau,AK,www.uas.alaska.edu,NULL,NULL,NULL,NULL,0,1,0,1,1,0,1,0,2,0,0,0,0,0,1,2,0,1,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,15284
Alaska Pacific University,Anchorage,AK,www.alaskapacific.edu,0.4207,0.420731707,1054,23,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0,2,2,0,42640
AVTEC-Alaska's Institute of Technology,Seward,AK,www.avtec.edu/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Charter College-Anchorage,Anchorage,AK,www.chartercollege.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,30854
Alaska Career College,Anchorage,AK,www.alaskacareercollege.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Everest College-Phoenix,Phoenix,AZ,www.everestcollegephoenix.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,26404
Collins College,Phoenix,AZ,www.collinscollege.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NULL
Empire Beauty School-Paradise Valley,Phoenix,AZ,www.empire.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Empire Beauty School-Tucson,Tucson,AZ,www.empire.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Thunderbird School of Global Management,Glendale,AZ,www.thunderbird.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
American Indian College Inc,Phoenix,AZ,www.aicag.edu/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23387
American Institute of Technology,Phoenix,AZ,www.ait-schools.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Carrington College-Phoenix,Phoenix,AZ,www.carrington.edu,0.9904,0.992727273,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NULL
Carrington College-Mesa,Mesa,AZ,www.carrington.edu,1,0.992727273,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Carrington College-Tucson,Tucson,AZ,www.carrington.edu,1,0.992727273,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
CollegeAmerica-Flagstaff,Flagstaff,AZ,www.collegeamerica.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28692
Arizona Academy of Beauty-East,Tucson,AZ,www.arizonaacademy.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Arizona Automotive Institute,Glendale,AZ,www.aai.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Brookline College-Phoenix,Phoenix,AZ,www.brooklinecollege.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,NULL
Arizona State University-Tempe,Tempe,AZ,www.asu.edu/,0.8433,0.784430512,1145,25,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,2,0,0,0,0,1,1,1,1,22312
Arizona Western College,Yuma,AZ,www.azwestern.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14247
University of Arizona,Tucson,AZ,www.arizona.edu,0.7462,0.746172417,NULL,NULL,1,1,1,1,1,0,1,0,1,1,1,1,2,0,1,0,0,1,1,0,1,0,1,0,1,2,1,1,1,1,0,0,0,0,1,1,1,1,24617
Southwest University of Visual Arts-Tucson,Tucson,AZ,www.suva.edu,NULL,NULL,NULL,NULL,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44388
Central Arizona College,Coolidge,AZ,www.centralaz.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10163
Brown Mackie College-Tucson,Tucson,AZ,www.brownmackie.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,24379
Charles of Italy Beauty College,Lake Havasu City,AZ,www.charlesofitaly.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Cochise County Community College District,Douglas,AZ,www.cochise.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10243
Empire Beauty School-Flagstaff,Flagstaff,AZ,www.empire.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Empire Beauty School-Chandler,Chandler,AZ,www.empire.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Cortiva Institute-Tucson,Tucson,AZ,www.cortiva.com/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Avalon School of Cosmetology-Mesa,Mesa,AZ,avalon.edu/locations/mesa-az/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Eastern Arizona College,Thatcher,AZ,www.eac.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11640
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,www.erau.edu,0.8016,0.743239271,NULL,NULL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,46174
Frank Lloyd Wright School of Architecture,Scottsdale,AZ,www.taliesin.edu,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Glendale Community College,Glendale,AZ,www.gccaz.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11822
Grand Canyon University,Phoenix,AZ,www.gcu.edu,0.5757,0.57566629,NULL,NULL,0,0,0,0,2,0,1,0,2,1,0,0,0,0,2,0,0,1,0,0,2,2,2,2,0,0,2,2,2,2,0,0,0,0,2,2,2,2,30945
International Academy of Hair Design,Tempe,AZ,www.intlacademyaz.com/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
GateWay Community College,Phoenix,AZ,www.gatewaycc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12818
Mesa Community College,Mesa,AZ,www.mesacc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12575
ITT Technical Institute-Tucson,Tucson,AZ,www.itt-tech.edu,0.9358,0.853611521,NULL,NULL,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27071
ITT Technical Institute-Tempe,Tempe,AZ,www.itt-tech.edu,0.9191,0.853611521,NULL,NULL,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27722
Mohave Community College,Kingman,AZ,www.mohave.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12238
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,www.uti.edu/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Dine College,Tsaile,AZ,www.dinecollege.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11610
Northern Arizona University,Flagstaff,AZ,nau.edu/,0.8099,0.809949765,NULL,NULL,0,1,0,1,1,0,1,0,2,2,0,1,0,1,1,2,0,2,1,0,2,2,1,0,2,2,2,0,2,2,0,0,0,0,2,2,2,1,22561
